
Epoch: 042, Train Loss: 0.2845, Val: -0.8885, Test: -0.2458, Seconds: 194.3977, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 043, Train Loss: 0.2739, Val: -0.4732, Test: -0.2458, Seconds: 196.5877, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 044, Train Loss: 0.3046, Val: -0.3775, Test: -0.2458, Seconds: 196.0054, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 045, Train Loss: 0.2894, Val: -0.9384, Test: -0.2458, Seconds: 197.2661, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 046, Train Loss: 0.2667, Val: -0.2796, Test: -0.2458, Seconds: 194.3152, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 047, Train Loss: 0.2689, Val: -0.4115, Test: -0.2458, Seconds: 197.4995, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 048, Train Loss: 0.2729, Val: -1.0150, Test: -0.2458, Seconds: 195.6181, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 049, Train Loss: 0.2851, Val: -0.5845, Test: -0.2458, Seconds: 195.6895, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 050, Train Loss: 0.2669, Val: -0.2639, Test: -0.2418, Seconds: 202.3629, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 051, Train Loss: 0.2596, Val: -0.4496, Test: -0.2418, Seconds: 194.7432, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 052, Train Loss: 0.2363, Val: -0.2298, Test: -0.2067, Seconds: 202.1768, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 053, Train Loss: 0.2381, Val: -0.3890, Test: -0.2067, Seconds: 196.2500, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 054, Train Loss: 0.2228, Val: -0.5629, Test: -0.2067, Seconds: 196.4130, Memory Peak: 36749 MB allocated, 45318 MB reserved.
Epoch: 055, Train Loss: 0.2258, Val: -0.2795, Test: -0.2067, Seconds: 194.0680, Memory Peak: 36749 MB allocated, 45318 MB reserved.
Epoch: 056, Train Loss: 0.2262, Val: -0.2308, Test: -0.2067, Seconds: 196.3859, Memory Peak: 36749 MB allocated, 45318 MB reserved.
